"STAID","STANAME","CN","LAT","LON","HGHT"
32,"BOURGES                                     ","FR  ","+47:03:33","+002:21:34",161
33,"TOULOUSE-BLAGNAC                            ","FR  ","+43:37:15","+001:22:44",151
34,"BORDEAUX-MERIGNAC                           ","FR  ","+44:49:50","-000:41:29",47
36,"PERPIGNAN                                   ","FR  ","+42:44:13","+002:52:22",42
39,"MARIGNANE                                   ","FR  ","+43:26:16","+005:12:57",9
322,"RENNES-ST JACQUES                           ","FR  ","+48:04:08","-001:44:02",36
323,"STRASBOURG-ENTZHEIM                         ","FR  ","+48:32:57","+007:38:25",150
434,"BREST-GUIPAVAS                              ","FR  ","+48:26:39","-004:24:42",94
736,"ABBEVILLE                                   ","FR  ","+50:08:09","+001:50:02",69
737,"LILLE-LESQUIN                               ","FR  ","+50:34:12","+003:05:51",47
738,"CAEN-CARPIQUET                              ","FR  ","+49:10:48","-000:27:21",67
740,"ALENCON                                     ","FR  ","+48:26:44","+000:06:37",143
742,"NANTES-BOUGUENAIS                           ","FR  ","+47:09:00","-001:36:32",26
745,"DIJON-LONGVIC                               ","FR  ","+47:16:04","+005:05:17",219
749,"POITIERS - BIARD                            ","FR  ","+46:35:38","+000:18:51",123
750,"CLERMONT-FERRAND                            ","FR  ","+45:47:12","+003:08:57",331
756,"TARBES - OSSUN                              ","FR  ","+43:11:17","+000:00:00",360
758,"BASTIA                                      ","FR  ","+42:32:26","+009:29:07",10
786,"MONTELIMAR                                  ","FR  ","+44:34:51","+004:43:59",73
793,"PTE DE LA HAGUE                             ","FR  ","+49:43:31","-001:56:22",6
2192,"BASEL-MULHOUSE                              ","FR  ","+47:36:51","+007:30:36",263
2203,"MONT-DE-MARSAN                              ","FR  ","+43:54:34","-000:30:01",59
2205,"ST-GIRONS                                   ","FR  ","+43:00:19","+001:06:24",414
2207,"MONTPELLIER-AEROPORT                        ","FR  ","+43:34:36","+003:57:47",2
2209,"AJACCIO                                     ","FR  ","+41:55:05","+008:47:34",5
11244,"PTE DE CHASSIRON                            ","FR  ","+46:02:48","-001:24:42",11
11245,"PLOUMANAC'H                                 ","FR  ","+48:49:32","-003:28:23",55
11247,"BELLE ILE - LE TALUT                        ","FR  ","+47:17:39","-003:13:05",34
11249,"ORLY                                        ","FR  ","+48:43:00","+002:23:03",89
